Ped,Bike,Bike Loop,School Area,1st St,E 2nd St,5th St,8th St,B St,F St,J St N,North Sycamore,North Anderson,North Anderson,East Covell,Olive Drive,Pole Line,West Russell,Russell,Downtown,University Rice,Old North,Old East,A St,DATE,TIME,REPORT,STREET 1,STREET 2,DISTANCE,DIRECTION,PRIMARY CAUSE,COLLISION TYPE,INJURY,Bike,5 Year Bike,5 Year  Ped,Ped,FATAL,TYPE OF COLLISION,VEHICLE 1,VEHICLE 2,INVOLVED WITH,OBJECT HIT,PEDESTRIAN ACTION,TRAFFIC CONTROL DEVICES,NOTES
,,,,,,1,,,,,,,,,,,,,,,,,,1/23/2004,10:24 PM,04-0483,Fifth Street,J Street,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,1/23/2004,10:56 PM,04-0486,Richards Blvd,Olive Drive,40',South,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/24/2004,2:55 AM,04-0493,Wake Forest Drive,Guava Lane,30',North,VC 22350,Sideswipe,,,,,,,,Passenger Car,Pickup Truck,Parked Motor Vehicle,,No Pedestrian Involved,,
,,1,1,,,,,1,,,,,,,,,,,,,,,,1/23/2004,12:45 PM,04-0507,203 E 14th Street,"""""",',Not Stated,VC ,Hit Object,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,1,,,,,1/24/2004,11:30 PM,04-0516,Third Street,F Street,0',In Int.,VC 22517,Sideswipe,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/28/2004,12:51 PM,04-0600,Russell Blvd,Sycamore Lane,110',West,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,1/28/2004,2:22 PM,04-0604,L Street,E Covell Blvd,6',South,VC 21804.A,Other,1,1.0,,,,,,,,Bicycle,,No Pedestrian Involved,,
1,,,,,,,,,,,,,,,,,,,,,,,,1/29/2004,11:40 AM,04-0616,Driveway Of 2355 Isle Royale Lane,"""""",',Not Stated,VC .,Vehicle - Pedestrian,1,,,,1.0,,,Passenger Car,Pedestrian,Pedestrian,,Not In Road,,
,,,,,,,1,1,,,,,,,,,,,,,,,1,1/29/2004,2:51 PM,04-0621,B Street,E Eighth Street,75',North,VC 22106,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
1,,1,1,,,,,1,,,,,,,,,,,,,,,,1/27/2004,2:40 PM,04-0627,B Street,E Fourteenth Street,10',South,VC .,Vehicle - Pedestrian,,,,,,,,Pedestrian,Passenger Car,Pedestrian,,Not In Road,,
,,,,,,,,,,,,,,,,,,,1,,,,,1/29/2004,8:20 PM,04-0632,G Street,Second Street,10',South,VC 22107,Other,,,,,,,,Pickup Truck,Truck With Trailer,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/29/2004,9:18 PM,04-0633,Mace Blvd,Interstate 80 Wb,0',In Int.,VC 21453.A,Head-On,3,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/30/2004,10:13 PM,04-0654,4849 El Cemonte Drive,"""""",',Not Stated,VC 23152.B,Sideswipe,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,1,,,,,,,,,,1,,,,,,,,,,,1/30/2004,11:26 PM,04-0660,Anderson Road,Rutgers Drive,475',South,VC 23152.B,Overturned,1,,,,,,,Passenger Car,,Non-Collision,,No Pedestrian Involved,,
,1,,,,,,1,,1,,,,,,,,,,,,,,,2/2/2004,3:57 PM,04-0698,E Eighth Street,F Street,50',East,VC 22107,Other,1,1.0,,,,,,Other Bus,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,1/30/2004,8:05 AM,04-0724,Claremont Drive,Spruce Lane,0',In Int.,VC .,Rear-End,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/4/2004,3:40 PM,04-0741,Mace Blvd,Interstate 80 Wb,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,1,,,,,,,,,,1,,,,,2/5/2004,9:22 AM,04-0750,F Street,Third Street,0',In Int.,VC 21801.A,Other,1,1.0,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/5/2004,,04-0758,Craig Place,Haussler Drive,30',North,VC .,Rear-End,,,,,,,,Passenger Car,Not Stated,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,2/5/2004,2:45 PM,04-0762,E Street,Second Street,0',In Int.,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,1,,,,,,,,,,,,,,,,,1,,2/5/2004,11:58 PM,04-0770,Second Street,L Street,0',In Int.,VC 23152.B,Head-On,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,12/23/2004,4:51 PM,04-07734,Pole Line Road,Claremont Drive,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,1,,,,,,,,,,,2/6/2004,11:50 AM,04-0778,Anderson Road,Sunset Court,127',South,VC 22350,Other,1,1.0,,,,,,Bicycle,,Other Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,1,,,,,,,,2/6/2004,3:40 PM,04-0779,Pole Line Road,E Covell Blvd,111',South,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,1,1,,,,,,,,,,,2/6/2004,4:00 PM,04-0783,W Covell Blvd,Anderson Road,25',West,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,1,,,,,,,,,,2/6/2004,6:00 PM,04-0784,E Covell Blvd,Alhambra Drive,0',In Int.,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,2/9/2004,8:00 PM,04-0844,Fifth Street,F Street,0',In Int.,VC 21801.A,Head-On,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/5/2004,7:15 AM,04-0845,Francisco Place,Anza Avenue,50',West,VC .,Not Stated,,,,,,,,Passenger Car,Passenger Car,Not Stated,,Not Stated,,
,,1,1,,,,,,,,,,,,,,,,,,,,,2/6/2004,,04-0847,315 W 14th Street,Null,0',In Int.,VC .,Rear-End,,,,,,,,Passenger Car,,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/9/2004,10:44 PM,04-0848,Russell Blvd,Sycamore Lane,342',East,VC 23114,Hit Object,,,,,,,,Passenger Car,Pickup Truck,Other Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/10/2004,6:00 PM,04-0863,Research Park Drive,Cowell Blvd (W),0',In Int.,VC 21801.A,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,2/10/2004,6:15 PM,04-0864,Fifth Street,F Street,0',In Int.,VC 21453.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/11/2004,7:40 AM,04-0866,Oyster Bay Avenue,Lake Blvd,0',In Int.,VC 21751,Head-On,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,1,1,,,,,,,,,,,,,,,,,,,,,2/11/2004,7:50 AM,04-0867,L Street,Drexel Drive,0',In Int.,VC 21650,Other,,,,,,,,Bicycle,Passenger Car,Bicycle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,2/12/2004,3:00 PM,04-0891,Third Street,D Street,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/12/2004,6:15 PM,04-0893,Shasta Drive,W Covell Blvd,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/12/2004,6:50 PM,04-0894,Chiles Road,Mace Blvd,0',In Int.,VC 21703,Rear-End,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/13/2004,11:30 AM,04-0906,Arthur Street,Adams Street (S),0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,1,,,,,,,,,,,,1,,,2/13/2004,5:02 PM,04-0911,F Street,Sixth Street,0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,1,,,,,,,,,,,,1,,,2/13/2004,5:41 PM,04-0912,F Street,Sixth Street,7',South,VC 22350,Rear-End,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,1,,,,,,,,,,,,,,,1,,,,,2/14/2004,1:35 PM,04-0930,Richards Blvd,First Street,12',South,VC 22350,Rear-End,2,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/16/2004,10:40 AM,04-0953,Drummond Avenue,Albany Avenue,0',In Int.,VC 21802.A,Broadside,,,,,,,,Passenger Car,Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/17/2004,4:45 PM,04-0975,Cowell Blvd,Drew Avenue,0',In Int.,VC 21703,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,2/17/2004,5:40 PM,04-0979,W Covell Blvd,Catalina Drive,0',In Int.,VC 22350,Rear-End,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/18/2004,7:30 AM,04-0983,Valdora Street,La Habra Court,0',In Int.,VC 22103,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,1,1,,,,,,,,,,1,,,,,,,,,,,2/18/2004,7:51 AM,04-0985,Anderson Road,Villanova Drive,0',In Int.,VC 21453.A,Other,1,1.0,,,,,,Bicycle,Pickup Truck,Bicycle,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,2/18/2004,2:24 PM,04-0990,Fifth Street,G Street,0',In Int.,VC 21453.A,Broadside,,,,,,,,Pickup Truck,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
1,,,,,,,,,,,,,,,,,,,,,,,,2/18/2004,6:50 PM,04-0998,Cowell Blvd,Drew Avenue,0',In Int.,VC 21950.A,Vehicle - Pedestrian,1,,,,1.0,,,Pedestrian,Passenger Car,Pedestrian,,Crossing In Crosswalk At Intersection,,
,,,,,,,,,,,,,,,,,,,,,,,,2/20/2004,12:41 PM,04-1033,College Park,Russell Blvd,0',In Int.,VC 23152.A,Hit Object,1,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,2/21/2004,4:40 AM,04-1083,Second Street,Light Pole #c3309,122',East,VC 23152.A,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,1,,,,,,,,,,1,,,,,2/23/2004,2:45 PM,04-1121,F Street,Fourth Street,0',In Int.,VC 21802.A,Broadside,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/23/2004,7:15 PM,04-1127,Cowell Blvd,Drummond Avenue,0',In Int.,VC 22450.A,Broadside,1,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,1,,1,,,,,,,,,,,1,1,1,,,2/24/2004,7:05 AM,04-1132,Russell Blvd,B Street,100',West,VC 23152.A,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,1,,,,,,,,2/25/2004,9:10 AM,04-1151,E Covell Blvd,Pole Line Road,300',East,VC .,Hit Object,,,,,,,,Truck,,Fixed Object,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,1,,,,,,,,2/25/2004,10:44 PM,04-1175,Pole Line Road,Fifth Street,0',In Int.,VC 22350,Other,1,1.0,,,,,,Bicycle,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,2/26/2004,2:24 AM,04-1178,Pole Line Road,Lehigh Drive,300',South,VC 23152.A,Rear-End,,,,,,,,Passenger Car,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,1,,,,,,,,,,1,,,,,2/26/2004,4:00 PM,04-1191,F Street,Third Street,20',North,VC 22350,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,2/27/2004,10:40 AM,04-1208,Olive Drive,Hickory Lane,1746',East,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,2/27/2004,11:03 AM,04-1209,W Chiles Road,Research Park Drive,0',In Int.,VC 21650,Other,2,2.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,2/27/2004,4:15 PM,04-1212,Arlington Blvd,Oakenshield Road,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,2/27/2004,9:31 PM,04-1215,Richards Blvd,Olive Drive,60',East,VC 21804.A,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,1,,,,,,,,,,2/27/2004,11:30 PM,04-1218,L Street,Claremont Drive,0',In Int.,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,1,,,,,,,,,,1,,,,,2/25/2004,11:58 AM,04-1227,Third Street,F Street,28',West,VC 22107,Sideswipe,,,,,,,,Other Bus,Passenger Car,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/28/2004,2:27 PM,04-1229,W Covell Blvd,Shasta Drive,528',West,VC 23152.A,Rear-End,3,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,1,,2/28/2004,3:11 PM,04-1231,Third Street,K Street,0',In Int.,VC 22350,Rear-End,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,2/28/2004,6:45 PM,04-1233,W Covell Blvd,Lake Blvd,0',In Int.,VC .,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,3/1/2004,12:18 PM,04-1258,Fifth Street,G Street,0',In Int.,VC ,Not Stated,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,3/1/2004,4:12 PM,04-1265,2121 Cowell Blvd,"""""",0',In Int.,VC ,Other,,,,,,,,Passenger Car,,Parked Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,3/1/2004,4:55 PM,04-1266,Russell Blvd,La Rue Road,234',East,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
,,,,,,,,,,,1,,,,,,,,,,,,,12/8/2004,10:00 AM,04-1269,W Covell Blvd,Sycamore Lane,0',In Int.,VC .,Not Stated,,,,,,,,Not Stated,Passenger Car,Motor Vehicle on Other Roadway,,Not Stated,,
,,,,,,,,,,,,,,,,,,,1,,,,,3/2/2004,10:29 AM,04-1278,Third Street,G Street,20',West,VC .,Hit Object,,,,,,,,Truck With Trailer,,Fixed Object,,No Pedestrian Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,3/2/2004,12:35 PM,04-1279,Howard Way,Russell Blvd,10',South,VC 22350,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,1,,1,,,,,1,,,,,,,,,,,,,1,,,3/2/2004,1:15 PM,04-1280,B Street,Seventh Street,10',South,VC 22106,Other,1,1.0,,,,,,Passenger Car,Bicycle,Bicycle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,2/24/2004,5:00 PM,04-1283,Oak Avenue,W Covell Blvd,0',In Int.,VC ,Rear-End,1,,,,,,,Passenger Car,Pickup Truck,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,1,,,,,,,,,,,,,,,1,,,,,2/17/2004,2:15 PM,04-1284,First Street,Null,0',In Int.,VC ,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,3/3/2004,7:10 PM,04-1309,Oceano Way,Ascada Place,5',North,VC 22107,Sideswipe,,,,,,,,Passenger Car,Passenger Car,Other Motor Vehicle,,No Pedestrian Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,3/4/2004,4:35 PM,04-1325,Bella Casa Street,Alvarado Avenue (E),92',North,VC 22350,Hit Object,,,,,,,,Passenger Car,,Fixed Object,,No Pedestrian Involved,,
